city_id,time_utc,local_time,temperature,humidity,cloudiness_pc,wind_speed,precipitation_prob,rain_volume,snow_volume
2950159,1655866800,2022-06-22 05:00:00,17.42,42,73,1.11,0,0,0
2950159,1655877600,2022-06-22 08:00:00,20.43,44,73,2.72,0.24,0.21,0
2950159,1655888400,2022-06-22 11:00:00,25.42,29,40,4.34,0.2,0,0
3117735,1655467200,2022-06-17 14:00:00,33.23,23,33,2.03,0,0,0
3117735,1655478000,2022-06-17 17:00:00,36.55,16,41,2.82,0,0,0
3117735,1655488800,2022-06-17 20:00:00,34.88,16,78,5.27,0,0,0
3117735,1655499600,2022-06-17 23:00:00,32.29,19,100,2.0,0.01,0,0
3117735,1655510400,2022-06-18 02:00:00,29.96,24,100,2.79,0,0,0
3117735,1655521200,2022-06-18 05:00:00,26.57,28,91,2.68,0,0,0
3117735,1655532000,2022-06-18 08:00:00,26.28,25,71,2.96,0,0,0
3117735,1655542800,2022-06-18 11:00:00,31.89,14,40,4.02,0,0,0
3117735,1655553600,2022-06-18 14:00:00,37.48,11,39,6.79,0,0,0
3117735,1655564400,2022-06-18 17:00:00,39.02,10,16,6.72,0,0,0
3117735,1655575200,2022-06-18 20:00:00,36.23,15,30,9.31,0.03,0,0
3117735,1655586000,2022-06-18 23:00:00,30.92,25,30,6.89,0,0,0
3117735,1655596800,2022-06-19 02:00:00,25.23,22,19,6.31,0,0,0
3117735,1655607600,2022-06-19 05:00:00,20.75,38,0,5.35,0,0,0
3117735,1655618400,2022-06-19 08:00:00,19.01,46,0,4.76,0,0,0
3117735,1655629200,2022-06-19 11:00:00,21.91,37,0,4.8,0,0,0
3117735,1655640000,2022-06-19 14:00:00,25.88,29,1,6.09,0,0,0
3117735,1655650800,2022-06-19 17:00:00,28.97,23,3,7.41,0,0,0
3117735,1655661600,2022-06-19 20:00:00,28.72,24,3,6.12,0,0,0
3117735,1655672400,2022-06-19 23:00:00,25.15,33,54,2.89,0,0,0
3117735,1655683200,2022-06-20 02:00:00,23.13,39,62,3.32,0,0,0
3117735,1655694000,2022-06-20 05:00:00,20.77,47,2,3.36,0,0,0
3117735,1655704800,2022-06-20 08:00:00,20.08,50,8,3.54,0,0,0
3117735,1655715600,2022-06-20 11:00:00,22.75,46,16,4.95,0,0,0
3117735,1655726400,2022-06-20 14:00:00,27.14,30,12,5.76,0,0,0
3117735,1655737200,2022-06-20 17:00:00,30.71,20,19,7.2,0,0,0
3117735,1655748000,2022-06-20 20:00:00,30.72,18,46,8.14,0,0,0
3117735,1655758800,2022-06-20 23:00:00,25.91,28,70,3.63,0,0,0
3117735,1655769600,2022-06-21 02:00:00,22.78,32,85,4.14,0,0,0
3117735,1655780400,2022-06-21 05:00:00,19.49,41,99,3.42,0,0,0
3117735,1655791200,2022-06-21 08:00:00,18.17,44,78,3.67,0,0,0
3117735,1655802000,2022-06-21 11:00:00,21.9,34,7,5.26,0,0,0
3117735,1655812800,2022-06-21 14:00:00,25.11,25,31,6.18,0,0,0
3117735,1655823600,2022-06-21 17:00:00,28.19,16,6,6.81,0,0,0
3117735,1655834400,2022-06-21 20:00:00,27.27,16,4,7.13,0,0,0
3117735,1655845200,2022-06-21 23:00:00,23.35,26,55,4.31,0,0,0
3117735,1655856000,2022-06-22 02:00:00,20.01,37,28,4.47,0,0,0
3117735,1655866800,2022-06-22 05:00:00,17.35,50,0,5.92,0,0,0
3117735,1655877600,2022-06-22 08:00:00,15.58,64,0,6.66,0,0,0
3117735,1655888400,2022-06-22 11:00:00,19.23,47,0,6.84,0,0,0
2988507,1655467200,2022-06-17 14:00:00,30.15,33,28,1.51,0,0,0
2988507,1655478000,2022-06-17 17:00:00,32.29,27,45,1.7,0,0,0
2988507,1655488800,2022-06-17 20:00:00,31.5,33,49,1.32,0,0,0
2988507,1655499600,2022-06-17 23:00:00,25.8,48,8,1.47,0,0,0
2988507,1655510400,2022-06-18 02:00:00,23.42,51,7,1.88,0,0,0
2988507,1655521200,2022-06-18 05:00:00,21.45,51,8,1.82,0,0,0
2988507,1655532000,2022-06-18 08:00:00,23.65,46,5,1.64,0,0,0
2988507,1655542800,2022-06-18 11:00:00,30.55,30,2,2.53,0,0,0
2988507,1655553600,2022-06-18 14:00:00,35.6,21,3,3.4,0,0,0
2988507,1655564400,2022-06-18 17:00:00,37.77,19,7,3.9,0,0,0
2988507,1655575200,2022-06-18 20:00:00,34.83,30,4,3.99,0,0,0
